Sales Person,Geography,Product,Date,Amount,Customers,Boxes
Karlen McCaffrey,New Zealand,Mint Chip Choco,7/22/2021,112.00,89,7
Oby Sorrel,USA,Baker's Choco Chips,7/22/2021,5565.00,39,619
Oby Sorrel,Australia,50% Dark Bites,7/22/2021,9898.00,110,1100
Beverie Moffet,USA,After Nines,7/22/2021,476.00,176,20
Roddy Speechley,USA,Eclairs,7/22/2021,4599.00,197,329
Wilone O'Kielt,USA,White Choc,7/22/2021,3031.00,113,190
Dennison Crosswaite,UK,After Nines,7/22/2021,5208.00,124,186
Gigi Bohling,USA,Choco Coated Almonds,7/22/2021,5873.00,185,267
Karlen McCaffrey,India,Spicy Special Slims,7/22/2021,16968.00,139,653
Rafaelita Blaksland,USA,Choco Coated Almonds,7/22/2021,12635.00,78,903
Jan Morforth,New Zealand,99% Dark & Pure,7/22/2021,567.00,120,34
Curtice Advani,UK,Organic Choco Syrup,7/22/2021,8246.00,383,330
Rafaelita Blaksland,New Zealand,Orange Choco,7/23/2021,3101.00,232,239
Jehu Rudeforth,Canada,Smooth Sliky Salty,7/23/2021,4326.00,221,228
Dotty Strutley,New Zealand,Eclairs,7/23/2021,5376.00,114,317
Curtice Advani,New Zealand,Spicy Special Slims,7/23/2021,2240.00,9,102
Van Tuxwell,UK,Fruit & Nut Bars,7/23/2021,784.00,118,44
Barr Faughny,Canada,Almond Choco,7/26/2021,2240.00,198,118
Barr Faughny,Canada,Peanut Butter Cubes,7/26/2021,6643.00,352,266
Gunar Cockshoot,USA,Smooth Sliky Salty,7/26/2021,4459.00,186,235
Dotty Strutley,Canada,Choco Coated Almonds,7/26/2021,6713.00,286,373
Husein Augar,Canada,Spicy Special Slims,7/26/2021,3108.00,169,116
Brien Boise,Canada,Choco Coated Almonds,7/26/2021,11116.00,118,530
Curtice Advani,USA,99% Dark & Pure,7/26/2021,406.00,329,18
Rafaelita Blaksland,UK,70% Dark Bites,7/26/2021,6055.00,532,757
Mallorie Waber,Australia,Milk Bars,7/26/2021,2968.00,12,106
Roddy Speechley,Canada,99% Dark & Pure,7/27/2021,5369.00,264,256
Ches Bonnell,Australia,Caramel Stuffed Bars,7/27/2021,9268.00,124,371
Curtice Advani,UK,Manuka Honey Choco,7/27/2021,7735.00,458,287
Kaine Padly,Canada,Choco Coated Almonds,7/27/2021,8540.00,390,407
Rafaelita Blaksland,USA,Smooth Sliky Salty,7/27/2021,6265.00,52,369
Rafaelita Blaksland,New Zealand,Manuka Honey Choco,7/27/2021,98.00,288,4
Jehu Rudeforth,USA,Milk Bars,7/27/2021,7105.00,22,237
Kaine Padly,UK,Peanut Butter Cubes,7/27/2021,10605.00,14,483
Madelene Upcott,USA,Eclairs,7/27/2021,20384.00,253,1359
Dotty Strutley,USA,Drinking Coco,7/27/2021,364.00,79,15
Brien Boise,India,After Nines,7/27/2021,6881.00,161,238
Marney O'Breen,Australia,After Nines,7/27/2021,483.00,48,20
Dotty Strutley,UK,Smooth Sliky Salty,7/27/2021,11284.00,220,753
Mallorie Waber,New Zealand,Spicy Special Slims,7/27/2021,1449.00,113,52
Gigi Bohling,UK,99% Dark & Pure,7/28/2021,7273.00,403,317
Brien Boise,Canada,Drinking Coco,7/28/2021,6916.00,309,277
Kelci Walkden,UK,Eclairs,7/28/2021,868.00,38,52
Barr Faughny,UK,Smooth Sliky Salty,7/28/2021,952.00,134,53
Marney O'Breen,New Zealand,Eclairs,7/28/2021,3220.00,94,190
Madelene Upcott,New Zealand,Peanut Butter Cubes,7/28/2021,3745.00,187,209
Wilone O'Kielt,Canada,Almond Choco,7/29/2021,10878.00,57,473
Mallorie Waber,New Zealand,50% Dark Bites,7/29/2021,2653.00,266,295
Jan Morforth,USA,Peanut Butter Cubes,7/29/2021,1043.00,133,53
Camilla Castle,USA,White Choc,7/29/2021,5257.00,63,526
Rafaelita Blaksland,India,Raspberry Choco,7/29/2021,9639.00,374,439
Kelci Walkden,New Zealand,Raspberry Choco,7/29/2021,12950.00,249,720
Barr Faughny,Australia,70% Dark Bites,7/29/2021,2884.00,258,412
Gunar Cockshoot,India,Almond Choco,7/29/2021,3024.00,340,132
Gunar Cockshoot,New Zealand,Almond Choco,7/29/2021,9394.00,332,553
Kaine Padly,New Zealand,Spicy Special Slims,7/29/2021,3878.00,1,177
Van Tuxwell,New Zealand,Mint Chip Choco,7/29/2021,9863.00,245,520
Husein Augar,Australia,White Choc,7/29/2021,3451.00,256,346
Beverie Moffet,Australia,Choco Coated Almonds,7/29/2021,8078.00,136,385
Marney O'Breen,USA,Peanut Butter Cubes,7/29/2021,3115.00,183,120
Marney O'Breen,Canada,99% Dark & Pure,7/29/2021,1981.00,325,95
Beverie Moffet,New Zealand,85% Dark Bars,7/29/2021,8078.00,14,426
Roddy Speechley,Canada,Drinking Coco,7/29/2021,8757.00,229,351
Ches Bonnell,Australia,White Choc,7/29/2021,4466.00,230,406
Wilone O'Kielt,Canada,Manuka Honey Choco,7/30/2021,896.00,140,34
Kelci Walkden,Canada,Choco Coated Almonds,7/30/2021,10045.00,145,670
Curtice Advani,New Zealand,Eclairs,7/30/2021,12845.00,328,857
Oby Sorrel,Canada,Eclairs,7/30/2021,8708.00,115,581
Dennison Crosswaite,India,70% Dark Bites,7/30/2021,476.00,21,44
Camilla Castle,New Zealand,Raspberry Choco,7/30/2021,2625.00,25,120
Van Tuxwell,Canada,Fruit & Nut Bars,7/30/2021,10969.00,391,646
Barr Faughny,USA,50% Dark Bites,8/2/2021,14763.00,155,985
Oby Sorrel,New Zealand,70% Dark Bites,8/2/2021,13188.00,85,1884
Gigi Bohling,USA,Almond Choco,8/2/2021,6944.00,299,386
Oby Sorrel,Australia,Caramel Stuffed Bars,8/2/2021,8561.00,196,306
Marney O'Breen,New Zealand,Caramel Stuffed Bars,8/2/2021,4753.00,259,217
Roddy Speechley,India,Drinking Coco,8/2/2021,10388.00,95,473
Madelene Upcott,Australia,Caramel Stuffed Bars,8/2/2021,8057.00,106,310
Barr Faughny,UK,99% Dark & Pure,8/2/2021,7.00,199,1
Wilone O'Kielt,New Zealand,Baker's Choco Chips,8/2/2021,1666.00,94,209
Van Tuxwell,USA,Milk Bars,8/2/2021,3934.00,99,158
Karlen McCaffrey,India,Manuka Honey Choco,8/2/2021,11746.00,297,368
Curtice Advani,Australia,Orange Choco,8/2/2021,10150.00,10,1015
Mallorie Waber,UK,Almond Choco,8/2/2021,8204.00,91,513
Barr Faughny,New Zealand,Almond Choco,8/2/2021,8015.00,357,501
Rafaelita Blaksland,India,Mint Chip Choco,8/2/2021,2695.00,136,159
Jehu Rudeforth,India,Fruit & Nut Bars,8/2/2021,4277.00,97,286
Gigi Bohling,India,Caramel Stuffed Bars,8/2/2021,1617.00,211,68
Rafaelita Blaksland,India,Peanut Butter Cubes,8/2/2021,6181.00,146,248
Beverie Moffet,Canada,85% Dark Bars,8/3/2021,5957.00,71,249
Roddy Speechley,Australia,Choco Coated Almonds,8/3/2021,4550.00,41,253
Gigi Bohling,UK,After Nines,8/3/2021,7217.00,1,278
Curtice Advani,India,Eclairs,8/3/2021,4151.00,21,260
Brien Boise,Canada,Manuka Honey Choco,8/3/2021,7910.00,70,256
Kelci Walkden,New Zealand,Drinking Coco,8/3/2021,5446.00,299,188
Roddy Speechley,UK,Orange Choco,8/3/2021,9443.00,403,1050
Jan Morforth,Australia,Drinking Coco,8/3/2021,7945.00,101,346
Dotty Strutley,USA,85% Dark Bars,8/3/2021,6167.00,104,257
Dennison Crosswaite,Canada,Orange Choco,8/4/2021,12404.00,68,955
Dotty Strutley,New Zealand,Peanut Butter Cubes,8/4/2021,7168.00,12,378
Marney O'Breen,Australia,Almond Choco,8/4/2021,2779.00,102,155
Karlen McCaffrey,Australia,Raspberry Choco,8/5/2021,17843.00,91,1190
Andria Kimpton,India,Almond Choco,8/5/2021,1491.00,171,68
Van Tuxwell,UK,After Nines,8/5/2021,4907.00,151,164
Oby Sorrel,USA,Orange Choco,8/5/2021,11452.00,137,1273
Rafaelita Blaksland,Australia,White Choc,8/5/2021,7301.00,4,812
Curtice Advani,Australia,Fruit & Nut Bars,8/5/2021,1708.00,65,122
Marney O'Breen,USA,Spicy Special Slims,8/5/2021,6013.00,343,215
Karlen McCaffrey,USA,Fruit & Nut Bars,8/5/2021,3654.00,62,261
Madelene Upcott,India,70% Dark Bites,8/5/2021,13279.00,12,1660
Mallorie Waber,India,Manuka Honey Choco,8/5/2021,8554.00,247,276
Husein Augar,Canada,White Choc,8/5/2021,8554.00,56,713
Roddy Speechley,UK,Spicy Special Slims,8/5/2021,14.00,27,1
Beverie Moffet,UK,Almond Choco,8/5/2021,2156.00,306,114
Jan Morforth,UK,Smooth Sliky Salty,8/6/2021,3605.00,249,181
Camilla Castle,Australia,Spicy Special Slims,8/6/2021,3668.00,248,142
Curtice Advani,UK,Eclairs,8/6/2021,6909.00,240,329
Beverie Moffet,USA,Baker's Choco Chips,8/6/2021,7434.00,52,744
Husein Augar,New Zealand,Smooth Sliky Salty,8/6/2021,2030.00,223,127
Van Tuxwell,UK,Baker's Choco Chips,8/6/2021,12201.00,108,763
Andria Kimpton,Australia,Milk Bars,8/6/2021,5075.00,53,203
Kelci Walkden,New Zealand,Smooth Sliky Salty,8/6/2021,9478.00,194,527
Dotty Strutley,Australia,Baker's Choco Chips,8/6/2021,4774.00,147,597
Gunar Cockshoot,USA,Milk Bars,8/6/2021,7413.00,268,323
Oby Sorrel,UK,Baker's Choco Chips,8/6/2021,5950.00,261,744
Barr Faughny,Canada,Milk Bars,8/6/2021,4592.00,84,192
Rafaelita Blaksland,Canada,85% Dark Bars,8/6/2021,42.00,80,2
Kaine Padly,USA,Choco Coated Almonds,8/6/2021,1148.00,383,77
Curtice Advani,USA,Smooth Sliky Salty,8/9/2021,3122.00,30,165
Jehu Rudeforth,New Zealand,99% Dark & Pure,8/9/2021,6510.00,366,362
Rafaelita Blaksland,India,Milk Bars,8/9/2021,1421.00,135,53
Rafaelita Blaksland,UK,Spicy Special Slims,8/9/2021,273.00,221,13
Curtice Advani,India,85% Dark Bars,8/9/2021,15400.00,62,963
Kaine Padly,Canada,50% Dark Bites,8/9/2021,11193.00,39,700
Curtice Advani,Australia,99% Dark & Pure,8/9/2021,15813.00,158,753
Dennison Crosswaite,Canada,85% Dark Bars,8/9/2021,4375.00,280,274
Dotty Strutley,USA,50% Dark Bites,8/9/2021,11683.00,166,899
Van Tuxwell,Australia,Spicy Special Slims,8/9/2021,9009.00,262,361
Rafaelita Blaksland,Australia,Spicy Special Slims,8/9/2021,7112.00,180,264
Marney O'Breen,Australia,Orange Choco,8/9/2021,882.00,158,126
Oby Sorrel,India,70% Dark Bites,8/9/2021,5152.00,91,644
Ches Bonnell,Canada,Almond Choco,8/9/2021,2947.00,438,174
Kaine Padly,USA,85% Dark Bars,8/9/2021,2905.00,226,146
Brien Boise,UK,Caramel Stuffed Bars,8/9/2021,2548.00,267,107
Jehu Rudeforth,New Zealand,Drinking Coco,8/9/2021,3437.00,462,157
Dennison Crosswaite,USA,Raspberry Choco,8/9/2021,5740.00,80,410
Gigi Bohling,UK,85% Dark Bars,8/9/2021,2842.00,12,168
Barr Faughny,USA,99% Dark & Pure,8/9/2021,9863.00,348,429
Andria Kimpton,USA,99% Dark & Pure,8/9/2021,2772.00,250,164
Brien Boise,Australia,Eclairs,8/9/2021,7833.00,184,603
Curtice Advani,India,Baker's Choco Chips,8/10/2021,10248.00,61,684
Andria Kimpton,UK,Raspberry Choco,8/10/2021,5677.00,176,355
Rafaelita Blaksland,Canada,Orange Choco,8/10/2021,8596.00,282,1433
Wilone O'Kielt,Canada,Spicy Special Slims,8/10/2021,6657.00,104,267
Gigi Bohling,India,Baker's Choco Chips,8/10/2021,8134.00,231,678
Jan Morforth,New Zealand,Caramel Stuffed Bars,8/10/2021,3122.00,215,105
Marney O'Breen,New Zealand,White Choc,8/10/2021,875.00,213,55
Dotty Strutley,UK,Caramel Stuffed Bars,8/10/2021,3199.00,385,134
Oby Sorrel,India,Orange Choco,8/10/2021,5600.00,270,700
Van Tuxwell,USA,Choco Coated Almonds,8/10/2021,2646.00,37,177
Dennison Crosswaite,Canada,99% Dark & Pure,8/10/2021,16940.00,164,706
Roddy Speechley,UK,Organic Choco Syrup,8/10/2021,9191.00,114,368
Gunar Cockshoot,Australia,Smooth Sliky Salty,8/10/2021,9562.00,379,456
Curtice Advani,New Zealand,Manuka Honey Choco,8/10/2021,567.00,55,20
Mallorie Waber,USA,Fruit & Nut Bars,8/10/2021,5173.00,186,288
Kaine Padly,New Zealand,Orange Choco,8/10/2021,4781.00,273,342
Gunar Cockshoot,India,Manuka Honey Choco,8/10/2021,6111.00,73,191
Dennison Crosswaite,New Zealand,Eclairs,8/10/2021,2373.00,477,119
Beverie Moffet,India,Raspberry Choco,8/10/2021,17892.00,469,1278
Gigi Bohling,USA,Caramel Stuffed Bars,8/10/2021,1729.00,43,70
Beverie Moffet,New Zealand,50% Dark Bites,8/10/2021,4508.00,87,282
Dotty Strutley,New Zealand,After Nines,8/11/2021,11641.00,76,432
Camilla Castle,Canada,Drinking Coco,8/11/2021,3647.00,239,131
Gigi Bohling,Canada,Organic Choco Syrup,8/11/2021,5670.00,20,237
Van Tuxwell,USA,Mint Chip Choco,8/11/2021,1036.00,528,58
Jehu Rudeforth,New Zealand,Raspberry Choco,8/11/2021,11067.00,107,615
Karlen McCaffrey,Canada,Caramel Stuffed Bars,8/11/2021,3010.00,149,131
Wilone O'Kielt,New Zealand,Almond Choco,8/11/2021,4753.00,187,207
Dennison Crosswaite,UK,Raspberry Choco,8/11/2021,11690.00,278,616
Husein Augar,India,Choco Coated Almonds,8/11/2021,1428.00,95,96
Madelene Upcott,UK,70% Dark Bites,8/11/2021,5467.00,30,547
Barr Faughny,Australia,Peanut Butter Cubes,8/11/2021,11018.00,126,501
Marney O'Breen,India,Baker's Choco Chips,8/11/2021,10171.00,11,1272
Camilla Castle,USA,Raspberry Choco,8/11/2021,4935.00,286,260
Mallorie Waber,India,After Nines,8/11/2021,2499.00,20,81
Jehu Rudeforth,Canada,Almond Choco,8/11/2021,2492.00,91,139
Karlen McCaffrey,UK,Baker's Choco Chips,8/11/2021,17549.00,194,1755
Van Tuxwell,UK,Manuka Honey Choco,8/11/2021,6636.00,35,256
Van Tuxwell,Canada,After Nines,8/11/2021,8904.00,372,308
Oby Sorrel,UK,Orange Choco,8/11/2021,16702.00,324,1392
Gigi Bohling,Canada,Drinking Coco,8/11/2021,1701.00,500,59
Ches Bonnell,UK,Peanut Butter Cubes,8/11/2021,10269.00,324,541
Jehu Rudeforth,UK,Orange Choco,8/11/2021,4410.00,81,630
Kaine Padly,UK,White Choc,8/12/2021,1610.00,417,115
Marney O'Breen,Canada,Choco Coated Almonds,8/12/2021,14399.00,141,800
Husein Augar,New Zealand,Spicy Special Slims,8/12/2021,1169.00,310,49
Kaine Padly,UK,Smooth Sliky Salty,8/12/2021,13867.00,320,694
Brien Boise,USA,70% Dark Bites,8/12/2021,2261.00,89,283
Mallorie Waber,India,Caramel Stuffed Bars,8/12/2021,2394.00,171,83
Van Tuxwell,Australia,Milk Bars,8/12/2021,5243.00,30,228
Beverie Moffet,New Zealand,99% Dark & Pure,8/12/2021,4501.00,145,196
Karlen McCaffrey,UK,Manuka Honey Choco,8/13/2021,2513.00,144,77
Karlen McCaffrey,Canada,Spicy Special Slims,8/13/2021,2828.00,49,114
Kaine Padly,USA,Orange Choco,8/13/2021,13944.00,77,1550
Jan Morforth,USA,Organic Choco Syrup,8/13/2021,3136.00,63,112
Curtice Advani,UK,Almond Choco,8/13/2021,6587.00,214,347
Kelci Walkden,New Zealand,Spicy Special Slims,8/13/2021,2254.00,232,87
Andria Kimpton,New Zealand,Orange Choco,8/13/2021,6356.00,64,795
Gunar Cockshoot,India,Eclairs,8/13/2021,2688.00,312,168
Roddy Speechley,Canada,Fruit & Nut Bars,8/13/2021,5719.00,57,477
Kelci Walkden,UK,White Choc,8/13/2021,238.00,122,27
Jan Morforth,India,Manuka Honey Choco,8/13/2021,3486.00,62,113
Beverie Moffet,India,Almond Choco,8/13/2021,4228.00,190,193
Karlen McCaffrey,UK,After Nines,8/16/2021,12054.00,43,389
Van Tuxwell,Australia,Baker's Choco Chips,8/16/2021,777.00,360,52
Husein Augar,India,Almond Choco,8/16/2021,1281.00,266,81
Beverie Moffet,India,Mint Chip Choco,8/16/2021,15043.00,167,836
Ches Bonnell,Canada,Milk Bars,8/16/2021,7959.00,84,319
Oby Sorrel,USA,Eclairs,8/16/2021,651.00,107,31
Ches Bonnell,USA,Baker's Choco Chips,8/16/2021,14280.00,124,1190
Ches Bonnell,Australia,Smooth Sliky Salty,8/16/2021,672.00,190,42
Dennison Crosswaite,India,Caramel Stuffed Bars,8/16/2021,420.00,64,15
Jehu Rudeforth,India,99% Dark & Pure,8/16/2021,9527.00,220,397
Husein Augar,USA,Choco Coated Almonds,8/16/2021,3262.00,58,164
Kaine Padly,Australia,Orange Choco,8/16/2021,5201.00,107,401
Andria Kimpton,UK,Manuka Honey Choco,8/16/2021,9905.00,69,331
Jehu Rudeforth,Australia,Choco Coated Almonds,8/16/2021,2457.00,245,176
Ches Bonnell,New Zealand,Eclairs,8/16/2021,8890.00,11,494
Kelci Walkden,USA,Eclairs,8/17/2021,1960.00,66,109
Rafaelita Blaksland,India,Choco Coated Almonds,8/17/2021,4487.00,99,214
Karlen McCaffrey,Australia,Baker's Choco Chips,8/17/2021,2240.00,32,249
Mallorie Waber,USA,Drinking Coco,8/17/2021,308.00,445,14
Wilone O'Kielt,Australia,Milk Bars,8/17/2021,1568.00,30,61
Dotty Strutley,India,Orange Choco,8/18/2021,6510.00,536,465
Beverie Moffet,UK,Organic Choco Syrup,8/18/2021,5992.00,263,207
Karlen McCaffrey,Canada,Drinking Coco,8/18/2021,609.00,398,24
Madelene Upcott,UK,99% Dark & Pure,8/18/2021,8141.00,73,340
Dennison Crosswaite,Australia,White Choc,8/18/2021,12908.00,106,1174
Dotty Strutley,New Zealand,85% Dark Bars,8/18/2021,266.00,265,15
Dotty Strutley,Australia,Choco Coated Almonds,8/18/2021,14672.00,122,816
Andria Kimpton,New Zealand,Manuka Honey Choco,8/18/2021,8540.00,200,285
Jehu Rudeforth,Canada,Raspberry Choco,8/18/2021,546.00,145,26
Roddy Speechley,Australia,Peanut Butter Cubes,8/18/2021,1631.00,43,86
Andria Kimpton,India,Fruit & Nut Bars,8/18/2021,203.00,173,21
Camilla Castle,Australia,85% Dark Bars,8/18/2021,3451.00,21,165
Marney O'Breen,New Zealand,Manuka Honey Choco,8/18/2021,9303.00,14,282
Dotty Strutley,USA,Choco Coated Almonds,8/18/2021,5565.00,314,293
Madelene Upcott,Canada,Baker's Choco Chips,8/18/2021,6083.00,124,676
Andria Kimpton,USA,Eclairs,8/18/2021,3808.00,50,293
Camilla Castle,Australia,Drinking Coco,8/18/2021,4634.00,25,172
Gigi Bohling,UK,50% Dark Bites,8/18/2021,1085.00,50,68
Madelene Upcott,Canada,Spicy Special Slims,8/19/2021,9506.00,39,476
Ches Bonnell,Canada,99% Dark & Pure,8/19/2021,6468.00,323,270
Ches Bonnell,USA,Peanut Butter Cubes,8/19/2021,10766.00,106,490
Husein Augar,India,After Nines,8/19/2021,2359.00,53,91
Van Tuxwell,New Zealand,Smooth Sliky Salty,8/19/2021,273.00,227,21
Camilla Castle,Australia,50% Dark Bites,8/19/2021,7217.00,13,602
Kaine Padly,Australia,Baker's Choco Chips,8/19/2021,8386.00,7,560
Barr Faughny,New Zealand,99% Dark & Pure,8/19/2021,13111.00,43,625
Andria Kimpton,USA,Peanut Butter Cubes,8/19/2021,287.00,82,16
Madelene Upcott,Australia,Spicy Special Slims,8/19/2021,11795.00,204,492
Wilone O'Kielt,Canada,Fruit & Nut Bars,8/19/2021,7721.00,56,483
Camilla Castle,New Zealand,Baker's Choco Chips,8/19/2021,147.00,179,11
Camilla Castle,Australia,70% Dark Bites,8/19/2021,2891.00,32,207
Curtice Advani,India,Fruit & Nut Bars,8/19/2021,875.00,256,49
Barr Faughny,UK,50% Dark Bites,8/19/2021,910.00,38,102
Andria Kimpton,USA,Baker's Choco Chips,8/20/2021,1498.00,109,100
Van Tuxwell,Canada,Mint Chip Choco,8/20/2021,1099.00,123,74
Andria Kimpton,Canada,After Nines,8/20/2021,805.00,69,26
Jehu Rudeforth,USA,Almond Choco,8/20/2021,2268.00,119,152
Dennison Crosswaite,USA,Milk Bars,8/20/2021,1568.00,220,69
Roddy Speechley,UK,White Choc,8/20/2021,49.00,4,4
Ches Bonnell,Canada,Drinking Coco,8/20/2021,12558.00,133,503
Camilla Castle,Australia,Eclairs,8/20/2021,2856.00,199,179
Kelci Walkden,New Zealand,Milk Bars,8/20/2021,896.00,84,32
Karlen McCaffrey,New Zealand,Almond Choco,8/20/2021,2709.00,145,118
Barr Faughny,Australia,Baker's Choco Chips,8/20/2021,1729.00,326,217
Roddy Speechley,New Zealand,Almond Choco,8/20/2021,5215.00,250,326
Marney O'Breen,UK,Smooth Sliky Salty,8/20/2021,1008.00,205,56
Andria Kimpton,USA,Manuka Honey Choco,8/20/2021,10661.00,229,356
Dotty Strutley,India,Fruit & Nut Bars,8/20/2021,6713.00,154,560
Ches Bonnell,Canada,After Nines,8/20/2021,5320.00,98,190
Beverie Moffet,USA,Raspberry Choco,8/20/2021,3850.00,311,193
Van Tuxwell,Australia,Peanut Butter Cubes,8/20/2021,616.00,103,27
Rafaelita Blaksland,USA,Fruit & Nut Bars,8/20/2021,3318.00,139,237
Ches Bonnell,India,Fruit & Nut Bars,8/20/2021,1876.00,72,134
Camilla Castle,New Zealand,Spicy Special Slims,8/20/2021,10724.00,206,511
Oby Sorrel,India,Drinking Coco,8/20/2021,1757.00,239,61
Kaine Padly,Australia,Raspberry Choco,8/20/2021,11060.00,139,692
Beverie Moffet,India,After Nines,8/20/2021,1645.00,272,64
Jehu Rudeforth,UK,Drinking Coco,8/23/2021,952.00,267,34
Mallorie Waber,India,Peanut Butter Cubes,8/23/2021,2786.00,133,155
Dotty Strutley,UK,Raspberry Choco,8/23/2021,8659.00,391,394
Mallorie Waber,UK,Orange Choco,8/23/2021,9765.00,70,698
Camilla Castle,Australia,White Choc,8/23/2021,6314.00,106,451
Roddy Speechley,New Zealand,Baker's Choco Chips,8/23/2021,4431.00,91,296
Camilla Castle,Australia,Mint Chip Choco,8/23/2021,1918.00,107,113
Gigi Bohling,UK,Choco Coated Almonds,8/23/2021,6111.00,51,322
Madelene Upcott,UK,Drinking Coco,8/23/2021,329.00,378,13
Andria Kimpton,USA,Mint Chip Choco,8/23/2021,6146.00,169,473
Camilla Castle,New Zealand,Smooth Sliky Salty,8/23/2021,4529.00,13,324
Mallorie Waber,India,Choco Coated Almonds,8/23/2021,3241.00,23,232
Jan Morforth,Australia,Raspberry Choco,8/24/2021,1120.00,22,63
Gunar Cockshoot,Australia,Mint Chip Choco,8/24/2021,770.00,4,52
Dennison Crosswaite,New Zealand,After Nines,8/24/2021,8064.00,8,279
Jan Morforth,India,Spicy Special Slims,8/24/2021,3780.00,44,172
Barr Faughny,Australia,Raspberry Choco,8/24/2021,1211.00,224,58
Wilone O'Kielt,India,Orange Choco,8/24/2021,2338.00,120,167
Andria Kimpton,Australia,Organic Choco Syrup,8/24/2021,1666.00,126,54
Brien Boise,New Zealand,Manuka Honey Choco,8/25/2021,1057.00,206,38
Jehu Rudeforth,India,Mint Chip Choco,8/25/2021,11291.00,145,706
Madelene Upcott,India,Eclairs,8/25/2021,5103.00,236,243
Marney O'Breen,USA,Baker's Choco Chips,8/25/2021,2982.00,199,213
Curtice Advani,USA,Milk Bars,8/25/2021,1274.00,44,51
Curtice Advani,UK,White Choc,8/26/2021,2786.00,31,164
Gigi Bohling,New Zealand,Mint Chip Choco,8/26/2021,7609.00,270,401
Dennison Crosswaite,Australia,Almond Choco,8/26/2021,5285.00,86,265
Curtice Advani,New Zealand,Fruit & Nut Bars,8/26/2021,196.00,150,18
Ches Bonnell,Australia,Baker's Choco Chips,8/26/2021,945.00,175,63
Wilone O'Kielt,Canada,Organic Choco Syrup,8/27/2021,8638.00,318,376
Gunar Cockshoot,India,Smooth Sliky Salty,8/27/2021,12446.00,242,593
Barr Faughny,USA,Choco Coated Almonds,8/27/2021,140.00,80,7
Ches Bonnell,UK,Choco Coated Almonds,8/27/2021,903.00,206,43
Roddy Speechley,UK,Choco Coated Almonds,8/27/2021,7742.00,55,517
Dotty Strutley,Australia,Caramel Stuffed Bars,8/27/2021,525.00,18,21
Oby Sorrel,New Zealand,White Choc,8/27/2021,8428.00,50,937
Mallorie Waber,Australia,85% Dark Bars,8/27/2021,784.00,20,42
Kelci Walkden,Canada,Mint Chip Choco,8/30/2021,4403.00,288,294
Madelene Upcott,USA,99% Dark & Pure,8/30/2021,1022.00,124,45
Karlen McCaffrey,UK,Smooth Sliky Salty,8/30/2021,10080.00,242,720
Mallorie Waber,India,Fruit & Nut Bars,8/30/2021,9212.00,420,709
Kelci Walkden,Australia,Fruit & Nut Bars,8/30/2021,7392.00,184,740
Marney O'Breen,Canada,Caramel Stuffed Bars,8/31/2021,6174.00,130,229
Wilone O'Kielt,Canada,After Nines,8/31/2021,2709.00,102,105
Wilone O'Kielt,Australia,Manuka Honey Choco,8/31/2021,9303.00,77,333
Oby Sorrel,New Zealand,Caramel Stuffed Bars,8/31/2021,2401.00,14,101
Brien Boise,UK,Drinking Coco,8/31/2021,126.00,8,6
Marney O'Breen,UK,85% Dark Bars,8/31/2021,2695.00,50,118
Ches Bonnell,New Zealand,Smooth Sliky Salty,8/31/2021,7882.00,358,493
Oby Sorrel,Australia,Milk Bars,8/31/2021,13370.00,265,432
Oby Sorrel,Canada,After Nines,8/31/2021,5215.00,245,174
Madelene Upcott,USA,50% Dark Bites,8/31/2021,12978.00,239,1082
Camilla Castle,USA,Drinking Coco,8/31/2021,15813.00,41,688
Roddy Speechley,India,Choco Coated Almonds,8/31/2021,749.00,560,45
Kelci Walkden,New Zealand,Peanut Butter Cubes,8/31/2021,6020.00,304,241
Andria Kimpton,USA,After Nines,8/31/2021,2135.00,210,67
Kaine Padly,India,Raspberry Choco,8/31/2021,10927.00,221,608
Rafaelita Blaksland,Australia,Raspberry Choco,8/31/2021,2275.00,56,120
Rafaelita Blaksland,New Zealand,Mint Chip Choco,8/31/2021,9443.00,12,450
Wilone O'Kielt,Australia,50% Dark Bites,8/31/2021,11326.00,243,944
Mallorie Waber,Canada,Spicy Special Slims,8/31/2021,2100.00,352,105
Camilla Castle,UK,Raspberry Choco,9/1/2021,1127.00,236,54
Gigi Bohling,India,Drinking Coco,9/1/2021,5026.00,127,219
Van Tuxwell,UK,Drinking Coco,9/1/2021,4991.00,80,185
Barr Faughny,India,White Choc,9/1/2021,175.00,59,12
Dotty Strutley,New Zealand,Milk Bars,9/1/2021,9968.00,466,356
Mallorie Waber,New Zealand,Smooth Sliky Salty,9/1/2021,4977.00,142,277
Oby Sorrel,India,After Nines,9/1/2021,3423.00,178,123
Jan Morforth,USA,Milk Bars,9/1/2021,7952.00,86,319
Curtice Advani,New Zealand,After Nines,9/1/2021,5859.00,146,245
Wilone O'Kielt,India,50% Dark Bites,9/1/2021,3920.00,543,262
Gunar Cockshoot,New Zealand,Manuka Honey Choco,9/1/2021,4774.00,332,165
Husein Augar,UK,Drinking Coco,9/1/2021,4165.00,128,139
Van Tuxwell,UK,99% Dark & Pure,9/1/2021,7518.00,137,358
Wilone O'Kielt,India,Peanut Butter Cubes,9/1/2021,4249.00,74,237
Ches Bonnell,New Zealand,Spicy Special Slims,9/1/2021,2492.00,364,89
Jan Morforth,UK,Spicy Special Slims,9/1/2021,4914.00,7,176
